Opinions,Sentiment
Personal sms,Positive
Banners at high density population locations like university / condominium,Positive
Opportunity to receive bonuses,Positive
Street advertising boards,Positive
Black happines ,Negative
Monthly promotional schemes for specific products,Positive
Pamplets delivered to each apartments nearby.  ,Positive
"Entrance of the shopping malls seem to display less promotions, If they had a few LED Tv's displaying promotions 24/7 even when the store is closed, that would be an eye catching advertisement scenario.",Positive
A small stall in the vicinity of the store advertising products & promotions encouraging people to visit the store.,Positive
Colourful pamphlets,Positive
On Air like FM,Positive
None ,Negative
Pamphlets,Positive
No clue.,Negative
"Offers must be realistic rather then fake 80-90% drops, customers are smart to judge whether the discount offered is real or just a gimmick by first increasing then applying an offer.",Positive
Not happy,Negative
none,Negative
Discount everyday,Positive
Mega sales ,Positive
free delivery to doorstep if buy more than RM50,Positive
Negotiable price if customers buy more of a particular product,Positive
Daily special sales,Positive
Through emails. Notifications pops up when promotions are on,Positive
The items which were promoted should have a long term promotion and warranty in order for the promotion to be a success.,Positive
Code promotions ,Positive
"Discount when buying about 5-10 or above things , hence the offer shoulde be enjoy by every consumer but not limited as member  other consumer also can enjoy the offer so that every one will come to the shop offenly and enjoy the discount that offered by the shop they get happy then  the buisness becomr better and better
sometimes give them some free gifts also can be acceptable for the future of shop or company",Positive
Based off real overall reviews by others users or customer,Positive
Sms,Positive
Billboards,Positive
SMS regarding the promotion,Positive
SMS,Positive
By calling person to person. ,Positive
Promote in university,Positive
Nothing,Negative
Through TV advertisement.,Positive
Email and sms,Positive
Free gift,Positive
Free samples,Positive
Exhibitions/fairs,Positive
Bundling,Positive
Bundling,Positive
Get trial functional about the product ,Positive
SMS,Positive
Would suggest to have a public conference to promote the product and give in depth details about it,Positive
Giving free delivery  services ,Positive
Give free,Positive
Whatsapp promotion,Positive
Phone notification but not too exaggerating. Probably once or two a week or month,Positive
Attach the promotion information on th products which are in promo,Positive
End of each month ,Positive
Email ,Positive
Low prices ,Positive
Efficient for the buyer where they can see the promo brochure or ads,Positive
Notifications through the retailer's mobile app,Positive
Accumulate more points in member card,Positive
door to door promotion,Positive
Buy 5 product and get one product with higher discount like RM 588 to RM 59.90,Positive
Internet marketing,Positive
Facebook,Positive
no comment,Negative
Not available ,Positive
Can't think of,Negative
by having free gift ,Positive
Advertising promotions ,Positive
Do demonstration ,Positive
No,Negative
Priorities should be given to customers/ Concern more on how customer would really acknowledge and judge the product in the first look. Therefore the promotion should not only be eye catching yet the use or benefits should be exposed obviously! Hope it would help.,Positive
dance in commercial ,Negative
"Not a suggestion for a promotional method, but this survey is so long and tedious that i got bored halfway and lied about my answers. Please take this feedback into consideration, and do your best to not complain about it since people who complain will not succeed - Jack Ma",Negative
Online shopping ,Positive
"I can't think of any, but online promotional methods using minimalist designs are still more attractive to me. They give a sense of exclusivity and not too flashy.",Negative
Word of mouth,Positive
Word of mouth,Positive
Facebook,Positive
Use of Social media platforms ,Positive
Banner or poster,Positive
Word of mouth ,Positive
Win a free trip to a place ,Positive
There should be a more interactive promotion amongst the companies and their consumers/customers,Positive
Artistic works and customer attracting special programs,Positive
Provide samples of the products in moving kiosks advertising the quality and feasibility of the product ,Positive
Through friends and family,Positive
Promotional method...should not be a one timer....should be more like a continous scheme where both buyer and seller are satisfied..,Positive
Enough is enough,Negative
SMS,Positive
Whatsapp promotion,Positive
Bundle discount,Positive
Free delivery service,Positive
 Promotion in Wechat,Positive
All good,Positive
Please put more lights,Positive
"Integrating a number of promotion methods as a whole complete promo, combining them.",Positive
Price discount,Positive
YouTube ads,Positive
Lucky draws,Positive
Can be more attractive price.,Positive
Social media,Positive
Facebook,Positive
Facebook,Positive
Give promotions more often on products that are used more by customers. Promotions should not be limited to a particular season but should come every month or even every week,Positive
